Individual,Treatment,FinalWeight
C14.F1.02,Control,42.1
C15.F6.04,Control,48.1
C19.F4.02,Control,58.2
C01.F06.02,Control,48.8
C11.F01.02,InsecticideControl,31.4
C18.F4.01,InsecticideControl,43.7
C22.F06.02,InsecticideControl,39.5
C14.F1.01,InsecticideControl,31.5
M12.F01.02,MethionineControl,49.6
M19.F04.03,MethionineControl,64.1
M22.F06.02,MethionineControl,40.8
M16.F06.02,MethionineControl,67.7
M01.F06.02,MethionineInsecticide,45.9
M04.F01.05,MethionineInsecticide,37
M19.F04.02,MethionineInsecticide,79.1
M23.F05.03,MethionineInsecticide,48
B07.F06.03,B12Control,33.9
B08.F01.02,B12Control,43.8
B19.F04.02,B12Control,82.3
B17.F06.01,B12Control,44.5
B09.F01.04,B12Insecticide,30.9
B17.F06.02,B12Insecticide,53.3
B19.F04.03,B12Insecticide,47.8
