Line,Mass
960,0.13
960,0.1
960,0.23
960,0.144
960,0.0699
960,0.0983
960,0.12
960,0.23
960,0.15
960,0.1921
960,0.1276
960,0.105
960,0.1643
960,0.2374
960,0.1489
960,0.2051
960,0.101
960,0.2307
960,0.16
960,0.2381
960,0.1301
960,0.1872
960,0.523
960,0.07
960,0.28
960,0.33
960,0.37
960,0.2748
960,0.2881
960,0.0693
960,0.1007
960,0.4406
B30,0.22
B30,0.16
B30,0.1389
B30,0.2475
B30,0.0992
B30,0.12
B30,0.17
B30,0.27
B30,0.27
B30,0.23
B30,0.45
B30,0.23
B30,0.25
B30,0.17
B30,0.14
B30,0.28
B30,0.78
B30,0.27
B30,0.23
B30,0.26
B30,0.24
B30,0.63
B30,0.37
B30,0.51
B30,0.43
B31,0.1449
B31,0.13
B31,0.18
B31,0.19
B31,0.15
B31,0.1494
B31,0.11
B31,0.09
B31,0.2
B31,0.1948
B31,0.12
B31,0.1655
B31,0.07
B31,0.19
B31,0.0886
B31,0.0934
B31,0.26
B31,0.13
B31,0.27
B31,0.2032
B31,0.26
B31,0.41
B31,0.63
B31,0.51
B31,0.37
B31,0.3296
B31,0.5793
B31,0.46
B31,0.4366
B31,0.4581
B3D,0.17
B3D,0.23
B3D,0.31
B3D,0.27
B3D,0.31
B3D,0.12
B3D,0.1998
B3D,0.0624
B3D,0.18
B3D,0.22
B3D,0.18
B3D,0.2
B3D,0.07
B3D,0.2009
B3D,0.1283
B3D,0.05
B3D,0.32
B3D,0.24
B3D,0.41
B3D,0.22
B3D,0.11
B3D,0.27
B3D,0.23
B3D,0.14
B3D,0.1539
B3D,0.3865
B3D,0.3
B3D,0.21
B3D,0.34
B3D,0.54
B3D,0.29
B3D,0.4461
B3D,0.51
B3D,0.4136
B3D,0.23
B3D,0.65
B3D,0.52
B3D,0.27
B3D,0.51
B3D,0.6779
B3D,0.6
B3D,0.37
Ba1,0.2
Ba1,0.26
Ba1,0.32
Ba1,0.03
Ba1,0.17
Ba1,0.16
Ba1,0.12
Ba1,0.31
Ba1,0.16
Ba1,0.2
Ba1,0.19
Ba1,0.3336
Ba1,0.18
Ba1,0.17
Ba1,0.17
Ba1,0.65
Ba1,0.3411
Ba1,0.11
Ba1,0.1
Ba1,0.01
Ba1,0.16
Ba1,0.12
Ba1,0.2678
Ba1,0.59
Ba1,0.1948
Ba1,0.0653
Ba1,0.67
Ba1,0.05
Ba1,0.3127
Ba2,0.1153
Ba2,0.2
Ba2,0.17
Ba2,0.5349
Ba2,0.18
Ba2,0.15
Ba2,0.18
Ba2,0.18
Ba2,0.06
Ba2,0.29
Ba2,0.1
Ba2,0.1451
Ba2,0.15
Ba2,0.17
Ba2,0.22
Ba2,0.35
Ba2,0.17
Ba2,0.28
Ba2,0.14
Ba2,0.09
Ba2,0.0548
Ba2,0.23
Ba2,0.2408
Ba2,0.1316
Ba2,0.7786
Ba2,0.7533
Ba2,0.5242
Ba2,0.37
Ba2,0.54
Ba2,0.52
Ba2,0.35
Ba2,0.58
Ba2,0.39
Be5,0.23
Be5,0.21
Be5,0.54
Be5,0.2522
Be5,0.41
Be5,0.26
Be5,0.21
Be5,0.1999
Be5,0.1221
Be5,0.17
Be5,0.28
Be5,0.3625
Be5,0.2
Be5,0.39
Be5,0.57
Be5,0.5198
Be5,0.9479
Be5,1.1
Be5,0.6294
Be9,0.1576
Be9,0.1853
Be9,0.32
Be9,0.28
Be9,0.24
Be9,0.27
Be9,0.13
Be9,0.28
Be9,0.27
Be9,0.14
Be9,0.1133
Be9,0.08
Be9,0.25
Be9,0.26
Be9,0.26
Be9,0.27
Be9,0.35
Be9,0.15
Be9,0.2
Be9,0.44
Be9,0.3
Be9,0.41
Be9,0.3
Be9,0.49
Be9,0.41
Be9,0.36
Be9,0.46
Be9,0.31
Be9,0.43
Be9,0.34
Be9,0.19
Be9,0.3749
Be9,0.26
Be9,0.2966
Be9,0.3732
CDC,0.0736
CDC,0.272
CDC,0.53
CDC,0.2631
CDC,0.3251
CDC,0.44
CDC,0.26
CDC,0.37
CDC,0.1281
CDC,0.2405
CDC,0.3895
CuA,0.21
CuA,0.22
CuA,0.55
CuA,0.25
CuA,0.1216
CuA,0.1263
CuA,0.2969
CuA,0.31
CuA,0.218
CuA,0.1866
CuA,0.26
CuA,0.18
CuA,0.2269
CuA,0.28
CuA,0.19
CuA,0.19
CuA,0.2503
CuA,0.6099
CuA,0.1
CuA,0.2401
CuA,0.18
CuA,0.5
CuA,0.38
CuA,0.9093
CuA,0.61
CuA,0.66
CuA,0.28
CuA,0.37
CuA,0.2403
CuA,0.17
CuA,0.1448
CuA,0.1871
CuA,0.38
CuA,0.38
CuA,0.55
CuA,0.21
CuA,0.1507
CuA,0.39
CuB,0.28
CuB,0.21
CuB,0.28
CuB,0.2463
CuB,0.1798
CuB,0.122
CuB,0.1216
CuB,0.2263
CuB,0.24
CuB,0.24
CuB,0.19
CuB,0.18
CuB,0.24
CuB,0.27
CuB,0.39
CuB,0.48
CuB,0.38
CuB,0.34
CuB,0.32
CuB,0.31
CuB,0.32
CuB,0.47
CuB,0.6
CuB,0.2954
CuB,0.2496
CuB,0.32
CuB,0.4
CuB,0.8
CuB,0.42
CuB,0.23
CuB,0.11
CuB,0.14
CuB,0.105
CuB,0.1673
CuB,0.32
CuB,0.38
CuB,0.41
CuB,0.13
CuB,0.22
D70,0.1628
D70,0.2783
D70,0.1713
D70,0.0892
D70,0.06
D70,0.21
D70,0.1637
D70,0.143
D70,0.22
D70,0.1678
D70,0.15
D70,0.5091
D70,0.3704
D70,0.1293
D70,0.5551
D70,0.3053
D70,0.29
D70,0.41
D70,0.19
D70,0.44
D70,0.44
D70,0.2065
D70,0.3342
D70,0.39
D70,0.1695
D70,0.165
D70,0.0211
D70,0.57
D70,0.13
D70,0.29
D70,0.26
D70,0.68
D70,0.26
D70,0.15
D70,0.15
D70,0.19
D72,0.41
D72,0.28
D72,0.3504
D72,0.0696
D72,0.38
D72,0.08
D72,0.3266
D72,0.91
D72,0.9747
D72,0.51
D72,0.52
D72,0.47
D72,0.8
D72,0.71
D72,0.59
D72,0.55
D72,1.43
D72,0.7862
D72,1.2735
D72,0.59
D72,0.9964
Dwe,0.75
Dwe,0.62
Dwe,0.3759
Dwe,0.16
Dwe,0.43
Dwe,0.64
Dwe,0.6211
Dwe,1.1013
Dwe,1.1197
Dwe,0.3072
Dwe,0.85
E73,0.22
E73,0.28
E73,0.17
E73,0.05
E73,0.25
E73,0.33
E73,0.15
E73,0.14
E73,0.18
E73,0.3271
E73,0.36
E73,0.04
E73,0.26
E73,0.5466
E73,1.01
E73,0.49
E73,0.12
Gok,0.35
Gok,0.6625
Gok,0.46
Gok,0.3086
Gok,0.27
Gok,0.45
Gok,0.64
Gok,0.35
Gok,0.78
Gok,0.54
Gok,0.41
Gok,0.26
Gok,0.65
Gok,0.55
Gok,0.20278
Gok,0.64
Gok,1.22
Gok,1.03
Gok,1.27
ICC,0.1
ICC,0.31
ICC,0.13
ICC,0.3075
ICC,0.0146
ICC,0.1328
ICC,0.12
ICC,0.0806
ICC,0.13
ICC,0.1718
ICC,0.18
ICC,0.11
ICC,0.2
ICC,0.04
ICC,0.07
ICC,0.2784
ICC,0.2273
ICC,0.1873
ICC,0.21
ICC,0.4788
ICC,0.45
ICC,0.1214
ICC,0.0286
ICC,0.2551
ICC,0.048
ICC,0.54
K64,0.14
K64,0.29
K64,0.21
K64,0.157
K64,0.336
K64,0.31
K64,0.17
K64,0.2287
K64,0.2641
K64,0.21
K64,0.28
K64,0.34
K64,0.16
K64,0.2075
K64,0.3287
K64,0.29
K64,0.3
K64,0.15
K64,0.2177
K64,0.31
K64,0.5992
K64,0.31
K64,0.21
K64,0.4438
K64,0.32
K64,0.25
K64,0.53
K64,0.38
K64,0.7
K64,0.74
K64,0.262
K64,0.41
K64,0.13
K64,0.3
K64,0.44
K64,0.3844
K64,0.3004
K75,0.2275
K75,0.24
K75,0.18
K75,0.08
K75,0.0271
K75,0.12
K75,0.14
K75,0.08
K75,0.49
K75,0.22
K75,0.37
K75,0.61
K75,0.1559
K75,0.52
K75,0.39
K77,0.1037
K77,0.0973
K77,0.09
K77,0.09
K77,0.13
K77,0.0394
K77,0.2503
K77,0.33
K77,0.17
K77,0.08
K77,0.21
K77,0.16
K77,0.23
K77,0.23
K77,0.12
K77,0.2084
K77,0.07
K77,0.1634
K77,0.1595
K77,0.09
K77,0.17
K77,0.41
K77,0.22
K77,0.134
K77,0.13
K77,0.14
K77,0.54
K77,1.06
K77,0.39
K77,1.16
K77,0.2152
K77,0.5814
K77,0.22
K77,0.0406
Myl,0.2679
Myl,0.26
Myl,0.37
Myl,0.29
Myl,0.23
Myl,0.39
Myl,0.1501
Myl,0.5114
Myl,0.1993
Myl,0.2115
Myl,0.1582
Myl,0.2272
Myl,0.4
Myl,0.45
Myl,0.1904
Myl,0.62
Myl,0.41
Myl,0.23
Myl,0.33
Myl,0.1851
Myl,0.47
Myl,0.3747
Myl,0.46
Myl,0.45
Myl,0.39
Myl,0.4831
Myl,0.2826
Myl,0.2766
Myl,0.44
Myl,0.5954
Myl,1.09
Myl,0.88
Myl,0.56
Myl,0.43
Myl,0.5896
Myl,0.55
Myl,0.15
O11,0.18
O11,0.163
O11,0.07
O11,0.1973
O11,0.36
O11,0.1001
O11,0.15
O11,0.26
O11,0.33
O11,0.21
O11,0.18
O11,0.25
O11,0.2322
O11,0.2
O11,0.1797
O11,0.41
O11,0.18
O11,0.18
O11,0.32
O11,0.01
O11,0.18
O11,0.25
O11,0.29
O11,0.04
O11,0.17
O11,0.31
O11,0.41
O11,0.52
O11,0.76
O11,0.19
O11,0.22
O84,0.19
O84,0.316
O84,0.29
O84,0.1992
O84,0.33
O84,0.23
O84,0.34
O84,0.11
O84,0.15
O84,0.34
O84,0.41
O84,0.75
O84,0.234
O84,0.55
O84,0.48
O84,0.88
O84,0.89
O84,0.94
O84,0.97
S60,0.17
S60,0.12
S60,0.06
S60,0.2209
S60,0.14
S60,0.1357
S60,0.1576
S60,0.12
S60,0.16
S60,0.19
S60,0.3753
S60,0.15
S60,0.709
S60,0.05
S60,0.11
S60,0.0927
S60,0.22
S60,0.1997
S60,0.29
S60,0.16
S60,0.37
S60,0.22
S60,0.1
S60,0.14
S60,0.18
S60,0.38
S60,0.19
S60,0.11
S60,0.4002
S60,0.0854
S60,0.2947
S63,0.08
S63,0.133
S63,0.11
S63,0.24
S63,0.13
S63,0.0732
S63,0.015
S63,0.24
S63,0.22
S63,0.1495
S63,0.18
S63,0.2
S63,0.37
S63,0.2216
S63,0.34
S63,0.52
S63,0.18
S63,0.12
S63,0.19
S63,0.1482
S63,0.46
S63,0.2144
S63,0.5554
S63,1.77
S63,0.5762
S63,0.1066
S63,0.0779
S63,0.69
S63,0.2791
S63,0.1973
S63,0.57
S63,0.0617
S63,0.2296
